_ - ,_ - voce/entry,_ - titolo/title,_ - sottitolo/subtitle,_ - autore/author,ids_authors,_ - genere/genre,_ - metro/mode,_ - luogo di pubblicazione/city,ids_city,_ - luogo di rappresentazione/location,ids_location,_ - editore/publisher,ids_publisher,_ - anno/year,_ - formato/format,_ - libretto,_ - compositore/composer,ids_composer,_ - traduzione/translation
3049,"LEGA DELLA BONTA, E DELLA GRAZIA. Trionfante della Giustizia, e della Colpa nella Immacolata Concezione di Maria Vergine, Oratorio per Musica dedicato a Monsig. Vescovo di Cremona Lodovico Settala. in Cremona, per Francesco Zanni. 1686 in 4 — di Bernardino Rigotto, Cremonese.","Lega Della Bonta, E Della Grazia",,Bernardino Rigotto,,Trionfante della,,Cremona,Q6231,,,Francesco Zanni,,1686,4,True,,,False
3050,"LEGGE D'AMORE. Commedia (in prosa). — in Ronciglione. senza Stampatore 1641 in 12. — di Francesco Guerrini, Romano, Accademico Infuriato di Roma, detto lo Indomito.",Legge D'Amore,,Francesco Guarini,,Commedia,prose,Ronciglione,Q30029567,,,unknown,,1641,12,False,,,False
3051,"LELIO BANDITO. Tragicommedia Boschereccia (in prosa). — in Milano, per Giambatista Bidelli, 1620 in 8 — ed in Venezia, per Giambatista Combi. 1624 in 12. — di Giambatista Andreini, Fiorentino.",Lelio Bandito,,Giambattista Andreini,Q1134183,Tragicommedia Boschereccia,prose,Milan,Q490,,,Giovanni Battista Bidelli,Q93431461,1620,8,False,,,False
3052,"LELIO FAVORITO CORTIGIANO. Commedia (in prosa) — in Roma, per Francesco Cavallo. 1633 in 12. — di Massimo Celio, Romano.",Lelio Favorito Cortigiano,,Massimo Celio,,Commedia,prose,Rome,Q220,,,Francesco Cavallo,,1633,12,False,,,False
3053,"LENA. Commedia (in versi sdruccioli, in prosa, e in cinque Atti). — in Venezia, per Bernardino de' Vidali, Veneziano, 1535 in 8 — ivi, per Francesco Bindoni. 1535 il mese di Maggio, in 8, dedicata da Lodovico Dolce (ch'è detto Dolcio) al D. Mess. Pietro Aretino. — ivi, per Niccolò d'Aristotile, detto Zoppino. 1935 1537 in 8 — ivi, per Vettore de' Ravaniani. 1538 in 8 — ivi, per Francesco Bindoni, e Maffeo Pa? Socj. 1538 in 8 — ivi, per il Giolito, 1551 e 1562 in 12. — ivi, per Domenico Cavalcalupo 1587 in 8 — ivi, per Giambatista Combi. 1620 in 12. — ed ivi, per Stefano Orlandini. 1730 in fogl. in due Tomi, con tutte le Opere dell'Autore. — di Lodovico Ariosto, Ferrarese. — L'Originale di questa Commedia si dice essere appresso il Sign. Dottor Girolamo Baruffaldi, Arciprete di Cento.",Lena,,Ludovico Ariosto,Q48900,Commedia,prose,Venice,Q641,,,Gabriele Giolito de' Ferrari,Q1490296,1535,8,False,,,False
3054,"LEONE TAUMATURGO. Sacra Rappresentazione. — in Palermo, per il Bua, e Porta Nova, 1648 in 12. — del P. Ortensio Scamacca, Siciliano, della Comp. di Gesù.",Leone Taumaturgo,,Ortensio Scamacca,,Sacra Rappresentazione,,Palermo,Q2656,,,Bua,,1648,12,False,,,False
3055,"LEONE. Tragedia dedicata da Giuseppe Cominelli, Zio dell'Autore, allo Emin. e Reverendiss. Sig. Card. Lodovico Pico della Mirandola. — in Pavia, per Gio. Benedetto Rodevino. 1730 in 8, con altre Poesie Italiane e Latine, e col Martirio di Sant'Antonina 3 a c. 42. — di Leonardo Cominelli, di Salò.",Leone,,Leonardo Cominelli,Q55914785,Tragedia dedicata,,Pavia,Q6259,,,Benedetto Rodevino,,1730,8,False,,,False
3056,"LEONIDA. Commedia (in prosa) in Venezia, per Paolo Mejetti, in 8 — di Bonetto Ghirardi.",Leonida,,Bonetto Ghirardi,,Commedia,prose,Venice,Q641,,,Paolo Mejetti,,0,8,False,,,False
3057,"LEONIDA IN SPARTA. Dramma recitato nel Regio Teatro di Torino l'anno 1689 — in Torino, per Bartolommeo Zapatta. 1689 in 8 — d'Incerto Autore.",Leonida In Sparta,,unknown,Q24238356,Dramma,,Turin,Q495,Teatro Regio,Q183202,Bartolomeo Zapatta,,1689,8,False,,,False
3058,"LEONIDA IN TEGEA. Dramma rappresentato nel dì Natalizio dell'Imperadore Leopoldo I. per comando della Imperadrice Margherita, l'anno 1670 — in Vienna d'Austria. per Matteo Cosmerovio, 1670 in 8 — Poesia di Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese. — Replicato in Venezia nel Teatro di San Mosè l'anno 1676 — in Venezia, per Francesco Niccolini. 1676 in 12. — Musica di Antonio Draghi, Ferrarese, e di Marc'Antonio Ziani, Veneziano, E poi replicato da Dame, e Cavalieri alle Augustiss. Maestà Cesaree l'anno 1694 — in Vienna d'Austria, per Matteo Cosmerovio. 1694 in 8 — Musica del suddetto Antonio Draghi, Ferrarese.",Leonida In Tegea,,Nicolò Minato,Q1987241,Dramma,,Vienna,Q1741,Teatro San Moisè,Q2575251,Matthäus Cosmerovius,Q55125046,1670,8,True,Antonio Draghi,Q601855,False
,,,,,,,,,,,,unknown,,,,,,,
3059,"LETTERE DI CAMBIO. Commedia (in prosa) rappresentata in Siena. in Viterbo, per Girolamo Discepolo. 1606 in 12. — ed in Venezia, per Gio. Alberti. 1606 in 12. — degli Accademici Sviati di Siena. — Da Francesco Claudi è dedicata allo Illustriss. ed Eccellentissimo Signor D. Mario Farnese, in data de 2 Febbrajo 1606.",Lettere Di Cambio,,Accademici Sviati di Siena,,Commedia,prose,Siena,Q2751,,,Girolamo Discepolo,Q27485130,1606,12,False,,,False
3060,"LEUCIPPE FESTIA. Dramma rappresentato nel giorno Natalizio della S. C. R. M. di Leopoldo Imperadore l'anno 1678 — in Vienna d'Austria, per Gio. Cristoforo Cosmerovio. 1678 in 8 — Poesia del Co. Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese.",Leucippe Festia,,Nicolò Minato,Q1987241,Dramma,,Vienna,Q1741,,,Johann Christoph Cosmerovius,Q104283372,1678,8,True,Antonio Draghi,Q601855,False
,,,,,,,,,,,,unknown,,,,,,,
3061,"LEUCIPPE, E TEONOE. Tragedia recitata nel Teatro di S. Gio. Grisostomo di Venezia l'anno 1719 — in Venezia, per Marino Rossetti. 1719 in 12. — Poesia dell'Ab. Pietro Maria Suarez, Veneziano, poi Vescovo di Feltre. — Musica di Antonio Pollarolo, Veneziano.","Leucippe, E Teonoe",,Pietro Maria Suarez,Q3904047,Tragedia,,Venice,Q641,Teatro Malibran,Q3982047,Marino Rossetti,Q122599209,1719,12,True,Antonio Pollarolo,Q604310,False
3062,"LEUDACLO, E TOSI. Egloga. (cioè, Lucadelo, e Tiso) — in Venezia, per Burrano Argolico. 1733 in 4, cioè, Carlo Buonarrigo. — di Amerispate Giupaci (cioè, Giuseppe Maria Cati) — Questo Poetico Componimento risguarda le lodi di alcune Figliuole dell'Ospitale degl'Incurabili di Venezia, le quali cantaro un Oratorio latino ad onore di San Pietro Orseolo, e quelle di Niccola Porpora Napolitano, che fece la Musica.","Leudaclo, E Tosi",,Giuseppe Maria Cati,,Egloga,,Venice,Q641,,,Carlo Buonarrigo,,1733,4,False,,,False
3063,"LIBERAZIONE D'AMORE. Commedia Rusticale di Maggio (in terza rima) in Siena, alla Loggia del Papa. 1576 e 1606. in 8 — del Desioso Sanese della Congrega degl'Insipidi, di cui non si sa il nome.",Liberazione D'Amore,,Desioso della Congrega degl'Insipidi di Siena,,Commedia Rusticale,,Siena,Q2751,,,unknown,,1576,8,False,,,False
3064,"LIBERAZIONE DI RUGGIERO DALL ISOLA D'ALCINA. Balletto rappresentato in Musica al Sereniss. Ladislao Sigismondo Principe di Polonia, e di Svezia nella Villa Imperiale della Sereniss. Arciduchessa d'Austria Gran Duchessa di Toscana, Firenze, per il Cecconcelli.in 4 — Poesia di Bernardo Saracinelli, Balì di Volterra.",Liberazione Di Ruggiero Dall Isola D'Alcina,,Bernardo Saracinelli,,Balletto,,,,,,Pietro Cecconcelli,Q112558740,0,4,False,,,False
3065,"LIBERAZIONE DE' SANTI PADRI DAL LIMBO. Rappresentazione. — in Verona, nella Stamperia di Giambatista Gelmini. 1610 in 4 — del Filotheoro, Accademico Olimpico di Vicenza, Spensierato di Ferrara, ed Unito di Cortona.",Liberazione De' Santi Padri Dal Limbo,,Filotheoro,,Rappresentazione,,Verona,Q2028,,,Giovanni Battista Gelmini,Q112511756,1610,4,False,,,False
3066,"LIBERO ARBITRIO. Tragedia intitolata Libero Arbitrio (in prosa). — senz'anno, luogo, e Stampatore. in 4 — di F.N. B. — Il Vergerio nella Critica del Catalogo de Libri proibiti, dato fuori in Venezia colle Stampe l'anno 1549, al passo, che dice: Tragedia del Libero Arbitrio di F. N. B. asserisce di aver commessione dall'Autore di dire, che F. N. B. vuol dire, Francesco Negro, Bassanese, e che di più fa egli sapere di voler ristamparla con accrescimenio, siccome in fatti ella uscì ristampata con questo titolo Della Tragedia di M. Francesco Negro, Bassanese, intirolata Libero Arbitrio, Edizione seconda con accrescimento. 1550 in 8 — Ma non contento l'empio Autore d'avere sparsa la pestilente Dottrina contenuta in quel Libro colle due accennate Edizioni, per renderla maggiormente comune, la trasporiò dallo Italiano in Latino, dandole per titolo. Liberum Arbitrium, Tragoedia Francisci Nigri ab ipsomet Auctore Latine versa ex Italico. Genevæ, apud Jo. Crispinum. 1559 in 8.",Libero Arbitrio,,F. N. B.,,Tragedia intitolata,prose,Venice,Q641,,,unknown,,0,4,False,,,False
3067,"LIBERTÀ NELLE CATENE. Commedia per Musica fatta rappresentare dalla Eccellentiss. Signora Duchessa di Zagarolo nel suo Palazzo. — in Roma, per Domenico Antonio Ercole. 1690 in 12. — dell'Abate Donato Antonio Leonardi, Lucchese.",Libertà Nelle Catene,,Donato Antonio Leonardi,Q93429606,Commedia,,Rome,Q220,,,Domenico Antonio Ercole,Q59627752,1690,12,True,,,False
3068,"LIBERTÀ NOCIVA. Dramma rappresentato nel Teatro di S. Cassiano di Venezia, in Venezia, senza Stampatore. 1744 in 8 — Poesia d'Incerto Autore. — Musica di Rinaldo di Capua, e del Galuppi.",Libertà Nociva,,unknown,Q24238356,Dramma,,Venice,Q641,Teatro San Cassiano,Q246429,unknown,,1744,8,True,Rinaldo di Capua,Q1274506,False
3069,"LIBERTÀ PRODIGIOSA. Rappresentazione Sacra in onoranza del gloriosissimo, e potentissimo Arcivescovo di Mira San Niccolò (in prosa). in Firenze nella Stamperia di S. A. per Antonio Navesi. 1692 in 24. — di Francesco del Teglia, Fiorentino.",Libertà Prodigiosa,,Francesco del Teglia,,Rappresentazione Sacra,prose,Florence,Q2044,,,Stamperia del Gran Duca di Toscana,,1692,24,False,,,False
3070,"LICANDRO. Tragicommedia Pastorale. in Roma, per il Mascardi, 1634. in 12. — di Girolamo la Manna di Catania, Pittore, Accademico Umorista, e Fantastico di Roma, Ottuso di Napoli, e Riacceso di Palermo.",Licandro,,Girolamo la Manna,,Tragicommedia Pastorale,,Rome,Q220,,,Mascardi,Q102288606,1634,12,False,,,False
3071,"LICASTA. Dramma per Musica. — in Parma, per Mario Vigna. 1664 in 8 — Poesia di Benedetto Ferrari, di Reggio di Modona. — Musica dello stesso Ferrari.",Licasta,,Benedetto Ferrari,Q816842,Dramma,,Parma,Q2683,,,Mario Vigna,Q118733444,1664,8,True,Benedetto Ferrari,Q816842,False
3072,"LICEO. Favola Pastorale. — in Viterbo, per Girolamo Discepolo. 1605 in 12. — éd in Venezia, per Gio. Alberti. 1606 in 12. — di Camillo Strozzi, da Orciano.",Liceo,,Camillo Strozzi,,Favola Pastorale,,Viterbo,Q13395,,,Girolamo Discepolo,Q27485130,1605,12,False,,,False
3073,"LICINIO IMPERADORE. Dramma rappresentato nel Teatro di San Gio. Grisostomo di Venezia l'anno 1684 in Venezia, per Francesco Niccolini. 1684 in 12. — Poesia di Matteo Noris, Veneziano. — Musica di Carlo Pallavicino, di Brescia.",Licinio Imperadore,,Matteo Noris,Q3299633,Dramma,,Venice,Q641,Teatro Malibran,Q3982047,Francesco Niccolini,,1684,12,True,Carlo Pallavicino,Q320534,False
3074,"LICO, E LISSO. Favola Boschereccia. in Roma, per gli Eredi di Lodovico Grignani. 1650 in 8 — di Filadelfo Mugnos, Siciliano.","Lico, E Lisso",,Filadelfo Mugnos,Q1412431,Favola Boschereccia,,Rome,Q220,,,Eredi di Lodovico Grignani,,1650,8,False,,,False
3075,"LICORI FUGGITIVA. Favola Pastorale recitata in Bologna l'anno 1641 nel Teatro Cuastavillani dagli Accademici Riaccesi. — in Bologna, per Giacomo Monti, e Carlo Zenero. 1641 in 12. — di Bernardino Mariscotti, detto il Notturno.",Licori Fuggitiva,,Bernardino Marescotti,,Favola Pastorale,,Bologna,Q1891,Teatro Guastavillani/Formagliari,,Giacomo Monti,Q93123102,1641,12,False,,,False
3076,"LICORI, ovvero, l'Incanto d'Amore, Egloga Pastorale (divisa in Scene). in Venezia, per Evangelista Deuchino. 1623 in 12. — di Alessandro Guarimi.",Licori,"L'Incanto D'Amore, Egloga Pastorale (Divisa In Scene)",Alessandro Guarini,Q109876838,?,,Venice,Q641,,,Evangelista Deuchino,Q108717337,1623,12,False,,,False
3077,"LICURGO, ovvero, il Cieco di acuta vista. Dramma recitato nel Teatro di Sant'Angiolo di Venezia l'anno 1686LI 1686 — in Venezia, per Francesco Niccolini. 1686 in 12. — Poesia di Matteo Noris, Veneziano. — Musica di Carlo Francesco Pollaroli, Veneziano.",Licurgo,Il Cieco Di Acuta Vista,Matteo Noris,Q3299633,Dramma,,Venice,Q641,Teatro San Angelo,Q1110282,Francesco Niccolini,,1686,12,True,Carlo Francesco Pollarolo,Q1042169,False
,,,,,,,,,,,,unknown,,,,,,,
3078,"LIDAURA. Melodramma. — in Palermo, per Giacomo Epiro. 1685 in 12. — di Ottavio Bellia e Statella, di Palermo.",Lidaura,,Ottavio Bellia e Statella,,Melodramma,,Palermo,Q2656,,,Giacomo Epiro,,1685,12,False,,,False
3079,"LIDIA PENTITA. Tragedia di lieto fine. — in Bologna, per Girolamo Monti. 1642 in 12. — ed ivi, per Giacomo Monti. 1647 in 12. — di Paolino Fiamma, Veneziano, Crocifero.",Lidia Pentita,,Paolino Fiamma,,Tragedia,,Bologna,Q1891,,,Girolamo Monti,Q41617185,1642,12,False,,,False
3080,"LIDIA TRAVESTITA. Commedia (in prosa). — in Messina. 1640 in 12. — di Pietro Valerio, di Cefalù.",Lidia Travestita,,Pietro Valerio,,Commedia,prose,Messina,Q13666,,,unknown,,1640,12,False,,,False
3081,"LIGURINO. Favola Boschereccia. — in Venezia, per Federico Aborelli Guerigli. 1574 in 12. — ed ivi, per Giovanni Guerigli. 1594 in 12. — di Niccola degli Angeli, da Monte Lupone.",Ligurino,,Nicola degli Angeli,,Favola Boschereccia,,Venice,Q641,,,Federico Aborelli Guerigli,,1574,12,False,,,False
3082,"LIGUSTRO DOLENTE. Invettiva Pastorale Scenica rappresentabile. — in Belluno, per Francesco Vieceri. 1640 in 12. — di Niccolò da Ca Tajapiera, Canonico di Burano.",Ligustro Dolente,,Niccolò da Ca Tajapiera,,Invettiva Pastorale,,Belluno,Q6558,,,Francesco Vieceri,,1640,12,False,,,False
3083,"LILIA. Commedia Pastorale (in prosa) in Firenze, per Jacopo Pocavanzi. 1582 in 8 — d'Incerto Autore.",Lilia,,unknown,Q24238356,Commedia Pastorale,prose,Florence,Q2044,,,Jacopo Pocavanza,,1582,8,False,,,False
3084,"LILIA. Egloga Pastorale di Lylia (in ottava rima, con un Atto solo, senza divisione di Scene) nella quale si contiene un sentenzioso parlare, e notabili esempli, ed una Canzone a ballo, nuovamente stampata. — in Siena, ad istanza di Francesco, detto Faentino, e Compagni nell'anno 1538 in 8 — E senza nota di Luogo, per Giovanni Padovano, 1540 in 8 — d'Incerto Autore.",Lilia,,unknown,Q24238356,Egloga Pastorale,verse,Siena,Q2751,,,Giovanni Padovano,Q112519299,1538,8,False,,,False
3085,"LITIGANTI. Commedia di M. Racine tradotta (in prosa). — in Venezia, per il Lovisa. 1736 in 12, colle altre di Racine, tradotte dalla stessa T.2. — di Luisa Bergalli, Veneziana.",Litiganti,,Luisa Bergalli,Q1433799,Commedia,prose,Venice,Q641,,,Domenico Lovisa,Q19569565,1736,12,False,,,True
3086,"LITIGANTI, ovvero, il Giudice impazzato. Commedia. — in Venezia, per Marino Rossetti. 1704 in 12. — di Girolamo Gigli.",Litiganti,Il Giudice Impazzato,Girolamo Gigli,Q3768932,Commedia,,Venice,Q641,,,Marino Rossetti,Q122599209,1704,12,False,,,False
3087,"LITIGIO DELLA ROBBA. Commedia (in verso), in Venezia. senza Stampatore. 1560 in 8 — in Asti, per il Zangrandi. 1601 in 8 — ed, in Venezia. senza Stampatore. 1624 in 8 — di Niccolò Spranga, Astigiano.",Litigio Della Robba,,Niccolò Spranga,,Commedia,,Venice,Q641,,,unknown,,1560,8,False,,,False
3088,"LIMOSINA. Parabola Sacra, e Drammatica. — in Napoli, per la Vedova di Lazzaro Scorriggio. 1633 in 12. — ed in Roma, per Francesco Cavallo. 1653 in 12. — di Aniello Sarriano, Napolitano.",Limosina,,Aniello Sarriano,,"Parabola Sacra,",,Naples,Q2634,,,Vedova di Lazzaro Scorriggio,,1633,12,False,,,False
3089,"LINGUA IN CONSEGNANZA COL CUORE, ovvero, la giusta Libertà del parlar sincero, intrepida fino sotto la mannaja de Manigoldi, eroicamente espressa in Tommaso Moro, Gran Cancelliere d'Inghilterra. Opera (in prosa). — in Padova, per Giambatista Penada. 1696 in 12. — del P. Giacinto Maria Anti, Padovano, dell'Ordine de Predicatori.",Lingua In Consegnanza Col Cuore,"La Giusta Libertà Del Parlar Sincero, Intrepida Fino Sotto La Mannaja De Manigoldi, Eroicamente Espressa In Tommaso Moro, Gran Cancelliere D'Inghilterra",Giacinto Maria Anti,,Opera,prose,Padua,Q617,,,Giovanni Battista Penada,,1696,12,False,,,False
3090,"LIRA D'ORFEO. Trattenimento Musicale rappresentato per comando della S. C. R. M. dell'Imperadore Leopoldo nel Cesareo Parco di Laxenburgo l'anno 1683 — in Vienna d'Austria, per Gio. Cristoforo Cosmerovio. 1683 in 4 — Poesia del Co. Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese.",Lira D'Orfeo,,Nicolò Minato,Q1987241,Trattenimento Musicale,,Vienna,Q1741,,,Johann Christoph Cosmerovius,Q104283372,1683,4,True,Antonio Draghi,Q601855,False
,,,,,,,,,,,,unknown,,,,,,,
3091,"LISALBO. Introduzione recitata per un Balletto. — in Ferrara, per Giulio Bolzoni Giglio. senz'anno. in 8 — di Francesco Berni, Ferrarese.",Lisalbo,,Francesco Berni,Q655618,Introduzione,,Ferrara,Q13362,,,Giulio Bolzoni Giglio,,0,8,False,,,False
3092,"LISAURA PELLEGRINA. Commedia. in Bologna. senza Stampatore, ed anno. in 12. — di Reginaldo Sgambati.",Lisaura Pellegrina,,Reginaldo Sgambati,,Commedia,,Bologna,Q1891,,,unknown,,0,12,False,,,False
3093,"LISETTA, E ASTROBOLO. Intermezzi rappresentati nel Teatro di San Mosè di Venezia l'anno 1725 — in Venezia, per Marino Rossetti. 1725 in 12. — d'Incerto Autore.","Lisetta, E Astrobolo",,unknown,Q24238356,Intermezzi rappresentati,,Venice,Q641,Teatro San Moisè,Q2575251,Marino Rossetti,Q122599209,1725,12,False,,,False
3094,"LISETTA, E DELFO. Intermezzi rappresentati nel Teatro di Sant'Angiolo di Venezia l'anno 1718 — in Venezia, per Marino Bassetti. 1718 in 12. — d'Incerto Autore.","Lisetta, E Delfo",,unknown,Q24238356,Intermezzi rappresentati,,Venice,Q641,Teatro San Angelo,Q1110282,Marino Bassetti,,1718,12,False,,,False
3095,"LISIMACO. Dramma rappresentato nel Teatro de' SS. Gio. e Paolo di Venezia l'anno 1674 — in Venezia, per Francesco Niccolini. 1674 in 12. — Poesia di D. Cristoforo Ivanovich, Dalmatino, Canonico di S. Marco. — Musica di Gio. Maria Pagliardi, Fiorentino.",Lisimaco,,Cristoforo Ivanovich,Q3246893,Dramma,,Venice,Q641,Teatro Santi Giovanni e Paolo,Q3982137,Francesco Niccolini,,1674,12,True,Giovanni Maria Pagliardi,Q3767667,False
3096,"LISIMACO. Dramma per Musica. in Ferrara, per Bernardino Pomatelli. 1693 in 12. — d'Incerto Autore.",Lisimaco,,unknown,Q24238356,Dramma,,Ferrara,Q13362,,,Bernardo Pomatelli,,1693,12,True,,,False
3097,"LISIMACO. Dramma per Musica rappresentato al Sereniss. Principe Ferdinando di Toscana nel Teatro degli Accademici Infuocati di Firenze. in Firenze, per Vincenzo Vangelisti. 1690 in 12. — d'Incerto Autore.",Lisimaco,,unknown,Q24238356,Dramma,,Florence,Q2044,Teatro Niccolini,Q3982074,Vincenzo Vangelisti,,1690,12,True,,,False
3098,"LISIMACO RIAMATO DA ALESSANDRO. Dramma recitato nel Teatro di San Salvatore di Venezia l'anno 1682 — in Venezia, per Francesco Niccolini. 1682 in 12. — Poesia di Giacomo Sinibaldi, Romano. — Musica di D. Giovanni Legrenzi, Bergamasco. — Fu sentito in Roma nell'anno 1681, e fu accomodato per le Scene di Venezia da Aurelio Aurelj, Veneziano. — Replicato l'anno 1688 nel Teatro Malvezzi di Bologna. — Musica del suddetto Legrenzi.",Lisimaco Riamato Da Alessandro,,Giacomo Sinibaldi,Q110215160,Dramma,,Venice,Q641,Teatro Goldoni,Q3982376,Francesco Niccolini,,1682,12,True,Giovanni Legrenzi,Q354947,False
,,,,,,,,,,,,unknown,,,,,,,
3099,"LISISTRATA. Commedia di Aristofane tradotta dal Greco in lingua comune d'Italia. — in Venezia, per Vincenzo Valgrisi. 1545 in 8, insieme colle altre dello stesso, tradotte dai medesimi Traduttori. — di Bartolommeo, e Pietro Fratelli Rositini, da Pratalboino.",Lisistrata,,Bartolomeo e Pietro Rositini,,Commedia,,Venice,Q641,,,Vincenzo Valgrisi,Q4013565,1545,8,False,,,True
3100,"LITE AMOROSA. Egloga (di un Atto solo in terzine). — in Siena, per Francesco di Simone, ad istanza di Girolamo di Alessandro Libraro adi 22 di Aprile 1550 in 8 — in Venezia, per gli Eredi di Marchiò Sessa. 1568 in 12. — ed in Fiorenza nel Garbo. 1572 in 8 — dell'ingegnosissimo Giovane Francesco di Jacopo Contrini, dal Monte Sansovino, della Congrega de' Rozzi di Siena. Tra gli altri Personaggi sono anche due Spagnuoli, che parlano la loro Lingua.",Lite Amorosa,,Giovane Francesco Contrini,,Egloga,,Siena,Q2751,,,Eredi di Marchiò Sessa,,1550,8,False,,,False
3101,"LITE ARMONICA TRA GLI ANGELI E I PASTORI. Dialogo. — in Palermo, per Agostino Epiro. 1703 in 4 ed ivi, per lo stesso. 1712 in 12, ma con altro titole tacciuto dal Mongitore. — di Gioachino Bona, e Fardella, di Palermo.",Lite Armonica Tra Gli Angeli E I Pastori,,Gioachino Bona,,Dialogo,,Palermo,Q2656,,,Agostino Epiro,,1703,4,False,,,False
3102,"LITI DI PINDO. Commedia Tragicommedia in Commedia (in prosa) in Messina, per Gio. Francesco Bianco. 1634 in 12. — di Scipione Errico, Messinese.",Liti Di Pindo,,Scipione Errico,Q3952401,Commedia Tragicommedia,prose,Messina,Q13666,,,Giovanni Francesco Bianco,Q109662554,1634,12,False,,,False
3103,"LODOVICO PIO, Dramma per Musica. — in Siena, senza Stampatore, ed anno. in 12. — ed in Venezia, per Antonio Bortoli. 1700 in 12. — di Girolamo Gigli, Sanese.","Lodovico Pio, Dramma Per Musica",,Girolamo Gigli,Q3768932,?,,Siena,Q2751,,,unknown,,0,12,True,,,False
3104,"LORENZO. Rappresentazione di Santo Lorenzo quando fu martirizzato (in ottava rima) — in Fiorenza, per Lorenzo Peri, adi 20 Aprile. 1547 in 4 — ed ivi. senza Stampatore, l'anno del Signore 1558 in 4 — d'Incerto Autore.",Lorenzo,,unknown,Q24238356,Rappresentazione,verse,Florence,Q2044,,,unknown,,1547,4,False,,,False
3105,"LORENZO. Sacra Rappresentazione. in Firenze, per Michelagnolo di Bartolommeo Sermartelli. 1592 in 8 — ed in Serravalle di Venezia, per Marco Claseri. 1606 in 12. — di Fra Gio. Angelo Lottini, dell'Ordine de' Servi.",Lorenzo,,Giovanni Angelo Lottini,Q56006600,Sacra Rappresentazione,,Florence,Q2044,,,Michelangelo Sermartelli,Q58233412,1592,8,False,,,False
3106,"LORENZO DI FRANZANO nel Regno di Sicilia dell'Ordine di S. Basilio Magno. Rappresentazione Sacra. In Roma, per il Bernabò. 1675 in 8 — di Domenico Bordonaro, Siciliano.",Lorenzo Di Franzano Nel Regno Di Sicilia Dell'Ordine Di S,,Domenico Bordonaro,,Rappresentazione Sacra,,Rome,Q220,,,Rocco Bernabò,Q110137389,1675,8,False,,,False
3107,"LUCE IMBRUNITA. Dramma Musicale (per Santa Lucia). — in Palermo, per il Bua, 1675 in 8 — di Giuseppe Riccio, Siciliano, di Chiusa.",Luce Imbrunita,,Giuseppe Riccio,,Dramma Musicale,,Palermo,Q2656,,,Bua,,1675,8,False,,,False
3108,"LUCE IMPORPORATA. Tragedia di Santa Lucia. — in Roma, per Francesco Cavallo. 1651 in 8 — di Niccolò Barbieri, detto Beltrame.",Luce Imporporata,,Niccolò Barbieri,Q2055429,Tragedia,,Rome,Q220,,,Francesco Cavallo,,1651,8,False,,,False
3109,"LUCIA. Tragedia Sacra. — in Palermo, per Giambatista Maringo. 1633 in 12. nel Tom. II. c. 119 — del P. Ortensio Scamacca, Siciliano, della Comp. di Gesù.",Lucia,,Ortensio Scamacca,,Tragedia Sacra,,Palermo,Q2656,,,Giovanni Battista Maringo,Q107379881,1633,12,False,,,False
3110,"LUCIA. — in Serravalle di Venezia, per Marco Classeri, 1606 in 12. — Poesia di Federico Riccioli, di Urbino.",Lucia,,Federigo Riccioli,Q116822018,?,,Serravalle,Q1961631,,,Marco Claseri,,1606,12,False,,,False
3111,"LUCIDI. Commedia (in prosa). — in Firenze, per Bernardo Giunri. 1549 in 8 — ivi, per il Torrentino. 1552 in 8, dedicata da Lodovico Domenichi a Mess. Aldighieri della Casa. — in Venezia, per Gabriel Giolito de' Ferrari, 1561 in 12. — assieme colla Trinuzia del medesimo Autore, dedicate dal suddetto Domenichi a Mess. Marc'Antonio Passero. in Firenze, per li Giunti. 1595 in 8 in Venezia, per Bartolommeo Carampello, 1597 in 12. — e senza luogo, Stampatore, ed anno, in 12, insieme colle altre, che però sono stampate in Napoli l'anno 1731 — di Agnolo Nannini, detto Firenzuola, Fiorentino, Monaco di Vall'Ombrosa.",Lucidi,,Agnolo Nannini,,Commedia,prose,Florence,Q2044,,,unknown,,0,8,False,,,False
3112,"LUCILLA. Tragicommedia (in prosa) in Napoli, per Giacomo Beltramo, 1635 in 12. — di Manilio Pannelli.",Lucilla,,Manilio Pannella,,Tragicommedia,prose,Naples,Q2634,,,Giacomo Beltramo,,1635,12,False,,,False
3113,"LUCILLA COSTANTE, O sia, le ridicolose Difese, e Prodezze di Pulicinella. Commedia. — in Milano, per il Malatesta. 1632 in 8 — di Silvio Fiorillo, detto il Capitan Mattamoros.","Lucilla Costante, O Sia, Le Ridicolose Difese, E Prodezze Di Pulicinella",,Silvio Fiorillo,Q3960869,Commedia,,Milan,Q490,,,Malatesta,,1632,8,False,,,False
3114,"LUCINDA. Commedia. — in Ronciglione, per Lodovico Grignani. 33 in 12. — di Francesco Solincorte, Romano.",Lucinda,,Francesco Solincorte,,Commedia,,Ronciglione,Q30029567,,,Lodovico Grignani,Q55228486,0,12,False,,,False
